rain,normal,strong,yes
rain,normal,strong,yes
rain,normal,strong,yes
rain,high,weak,yes
rain,normal,strong,no
overcast,normal,weak,no
sunny,high,weak,no
overcast,high,weak,yes
sunny,high,strong,yes
overcast,normal,weak,no
rain,normal,weak,yes
overcast,high,weak,yes
sunny,high,strong,yes
rain,high,strong,yes
overcast,normal,strong,no
overcast,normal,weak,yes
overcast,high,weak,no
rain,normal,strong,no
sunny,normal,strong,yes
overcast,high,weak,no
overcast,normal,weak,no
overcast,normal,weak,yes
rain,normal,weak,no
overcast,normal,weak,no
overcast,high,weak,yes
overcast,high,weak,yes
overcast,normal,strong,no
sunny,normal,strong,yes
overcast,high,weak,no
sunny,high,strong,yes
sunny,high,strong,yes
sunny,normal,strong,no
rain,high,strong,yes
rain,high,strong,yes
sunny,normal,strong,no
sunny,normal,strong,yes
overcast,high,weak,yes
rain,normal,weak,yes
rain,normal,weak,no
rain,high,strong,yes
sunny,high,weak,yes
sunny,high,weak,yes
rain,normal,strong,yes
sunny,high,strong,no
overcast,normal,strong,yes
rain,normal,strong,yes
sunny,normal,weak,no
sunny,high,strong,yes
rain,high,strong,no
sunny,normal,strong,yes
rain,normal,weak,no
overcast,high,weak,yes
sunny,normal,weak,no
overcast,normal,strong,no
overcast,high,weak,yes
rain,normal,strong,yes
sunny,high,weak,yes
sunny,high,strong,yes
overcast,normal,strong,yes
overcast,high,strong,yes
overcast,normal,weak,yes
rain,normal,weak,no
sunny,normal,strong,no
sunny,normal,weak,no
overcast,high,weak,yes
sunny,high,strong,no
sunny,high,strong,no
overcast,normal,weak,yes
sunny,normal,strong,yes
rain,normal,weak,yes
overcast,normal,weak,no
rain,normal,strong,yes
rain,high,strong,no
sunny,normal,weak,no
overcast,high,strong,no
sunny,high,weak,yes
overcast,normal,strong,yes
rain,normal,strong,no
rain,high,strong,no
rain,normal,strong,yes
rain,normal,weak,yes
rain,normal,strong,yes
overcast,high,strong,no
overcast,high,strong,no
overcast,normal,strong,no
sunny,normal,strong,no
overcast,normal,strong,yes
rain,high,strong,yes
rain,high,weak,no
rain,normal,weak,no
sunny,normal,weak,yes
sunny,normal,weak,no
overcast,high,weak,no
sunny,high,strong,yes
overcast,normal,weak,no
overcast,normal,strong,no
sunny,high,weak,yes
sunny,normal,strong,no
rain,high,strong,no
sunny,normal,weak,yes
rain,normal,strong,no
overcast,normal,weak,no
sunny,high,weak,no
rain,high,weak,yes
overcast,high,weak,yes
sunny,high,weak,yes
rain,normal,strong,no
sunny,normal,strong,no
overcast,high,weak,yes
overcast,high,weak,yes
sunny,normal,strong,yes
overcast,high,strong,yes
sunny,normal,strong,yes
sunny,normal,strong,yes
rain,normal,weak,yes
overcast,high,weak,no
rain,normal,weak,no
overcast,normal,strong,no
rain,normal,strong,yes
overcast,normal,weak,yes
sunny,high,strong,no
rain,high,weak,yes
overcast,high,weak,yes
sunny,normal,weak,yes
sunny,normal,strong,no
sunny,normal,weak,no
overcast,normal,strong,yes
rain,normal,weak,no
rain,high,weak,yes
sunny,normal,strong,no
sunny,normal,weak,no
overcast,high,weak,no
overcast,high,weak,yes
sunny,high,weak,yes
sunny,high,weak,no
sunny,normal,weak,no
rain,high,strong,no
sunny,normal,weak,no
overcast,high,strong,no
rain,high,weak,no
rain,normal,strong,no
sunny,normal,strong,yes
sunny,normal,strong,yes
overcast,normal,strong,yes
overcast,normal,weak,no
sunny,normal,strong,yes
sunny,normal,strong,yes
rain,high,weak,yes
rain,high,weak,no
rain,high,weak,yes
sunny,normal,weak,yes
rain,high,weak,no
overcast,normal,strong,no
overcast,normal,weak,yes
rain,normal,strong,no
overcast,high,strong,no
overcast,normal,strong,no
overcast,normal,strong,no
overcast,high,weak,no
sunny,normal,strong,yes
rain,normal,strong,no
rain,normal,weak,no
overcast,high,weak,yes
sunny,high,strong,yes
sunny,normal,strong,yes
sunny,normal,weak,yes
sunny,high,weak,yes
overcast,normal,strong,yes
overcast,high,strong,yes
overcast,normal,strong,no
overcast,normal,weak,no
rain,high,strong,no
overcast,high,weak,yes
rain,high,weak,no
sunny,high,strong,yes
overcast,high,strong,no
rain,high,strong,no
overcast,high,strong,no
rain,normal,weak,yes
sunny,high,strong,yes
sunny,high,strong,no
sunny,high,weak,no
sunny,normal,strong,yes
rain,high,weak,no
sunny,high,strong,no
sunny,high,weak,no
rain,normal,weak,yes
overcast,high,weak,yes
sunny,high,weak,yes
rain,high,weak,yes
rain,normal,strong,yes
sunny,high,weak,no
rain,normal,strong,no
sunny,high,strong,yes
rain,high,weak,yes
sunny,normal,weak,no
sunny,high,weak,yes
overcast,high,weak,no
sunny,normal,strong,no
overcast,high,strong,yes
overcast,high,weak,no
sunny,high,weak,no
sunny,high,strong,yes
sunny,normal,weak,no
rain,high,strong,no
overcast,high,strong,no
overcast,high,strong,no
rain,high,strong,no
overcast,normal,weak,no
sunny,high,strong,yes
sunny,high,strong,no
overcast,high,strong,no
sunny,high,weak,yes
overcast,high,weak,no
sunny,normal,strong,yes
rain,high,weak,no
sunny,high,weak,yes
rain,high,weak,yes
overcast,high,strong,yes
overcast,high,strong,yes
sunny,normal,weak,yes
rain,high,strong,no
overcast,normal,weak,no
overcast,normal,weak,no
sunny,normal,weak,no
overcast,normal,weak,no
overcast,normal,weak,yes
sunny,normal,weak,yes
overcast,high,strong,yes
sunny,high,weak,yes
sunny,high,weak,yes
sunny,normal,weak,yes
sunny,high,strong,no
overcast,normal,weak,no
rain,high,strong,yes
sunny,normal,strong,no
rain,high,strong,yes
overcast,high,strong,no
rain,high,strong,yes
sunny,normal,strong,yes
rain,high,strong,no
rain,normal,weak,yes
sunny,high,strong,no
rain,high,strong,yes
sunny,high,weak,no
rain,high,strong,no
sunny,normal,strong,yes
sunny,high,weak,no
sunny,high,weak,no
overcast,normal,strong,no
rain,normal,weak,no
overcast,normal,strong,yes
overcast,normal,strong,no
sunny,normal,weak,yes
sunny,high,weak,yes
rain,high,strong,yes
sunny,normal,weak,yes
rain,high,weak,no
overcast,normal,weak,no
overcast,normal,strong,yes
rain,high,weak,no
sunny,normal,strong,no
rain,normal,weak,yes
overcast,high,strong,yes
sunny,normal,weak,no
sunny,normal,strong,no
sunny,normal,weak,yes
overcast,high,weak,yes
rain,normal,strong,yes
rain,high,strong,yes
rain,high,weak,no
sunny,high,weak,yes
rain,high,weak,no
sunny,normal,strong,yes
sunny,high,weak,no
overcast,high,weak,yes
overcast,high,strong,yes
overcast,normal,weak,yes
overcast,normal,strong,yes
sunny,normal,strong,yes
sunny,normal,strong,no
overcast,high,strong,no
sunny,high,weak,no
sunny,normal,strong,yes
sunny,normal,strong,yes
rain,normal,weak,no
overcast,normal,strong,no
overcast,high,weak,no
rain,normal,strong,yes
rain,high,strong,no
rain,high,weak,yes
overcast,normal,weak,yes
rain,high,weak,yes
rain,high,weak,no
rain,high,strong,yes
overcast,normal,weak,no
sunny,high,strong,no
sunny,normal,weak,yes
sunny,high,weak,yes
rain,normal,weak,yes
sunny,normal,strong,no
sunny,high,weak,no
overcast,normal,weak,yes
rain,high,weak,yes
sunny,high,strong,no
sunny,normal,weak,yes
overcast,high,weak,no
overcast,high,weak,yes
sunny,high,strong,yes
rain,normal,strong,no
rain,normal,weak,no
rain,normal,strong,no
overcast,high,weak,no
overcast,high,weak,yes
overcast,high,strong,no
overcast,high,strong,no
sunny,normal,weak,no
rain,normal,strong,no
sunny,normal,strong,yes
overcast,normal,weak,no
sunny,normal,strong,yes
sunny,high,strong,yes
overcast,normal,weak,no
sunny,high,weak,no
overcast,high,weak,no
sunny,high,strong,yes
sunny,high,strong,yes
overcast,high,strong,no
rain,high,strong,no
overcast,normal,strong,no
rain,high,weak,no
rain,high,strong,no
overcast,normal,weak,yes
rain,high,strong,no
overcast,high,strong,yes
sunny,high,strong,no
overcast,normal,weak,yes
sunny,normal,strong,no
rain,normal,weak,no
rain,high,weak,yes
rain,high,strong,yes
sunny,high,strong,yes
rain,normal,weak,yes
rain,high,strong,no
overcast,high,strong,yes
overcast,normal,weak,yes
rain,high,strong,no
overcast,high,strong,no
sunny,normal,strong,yes
sunny,high,strong,yes
sunny,normal,weak,no
overcast,normal,strong,yes
overcast,high,weak,no
sunny,high,strong,no
sunny,normal,weak,no
rain,high,weak,yes
sunny,high,weak,no
sunny,normal,strong,yes
rain,high,weak,no
overcast,high,strong,yes
rain,normal,weak,no
overcast,normal,weak,yes
rain,normal,weak,yes
overcast,high,weak,no
overcast,high,strong,yes
rain,normal,weak,no
sunny,normal,strong,no
rain,normal,strong,no
rain,normal,strong,no
rain,high,weak,no
sunny,normal,strong,yes
sunny,normal,strong,yes
overcast,normal,weak,no
rain,high,strong,yes
overcast,high,strong,no
rain,high,strong,yes
sunny,high,weak,no
sunny,high,weak,yes
rain,high,weak,yes
overcast,high,weak,no
rain,normal,strong,no
rain,high,weak,yes
rain,normal,strong,yes
overcast,normal,strong,yes
overcast,high,weak,yes
sunny,high,strong,yes
overcast,normal,weak,no
sunny,high,strong,yes
sunny,high,weak,no
overcast,normal,strong,yes
sunny,high,strong,no
sunny,normal,strong,yes
rain,normal,strong,no
overcast,high,strong,yes
sunny,normal,weak,no
rain,normal,strong,no
rain,high,weak,no
overcast,normal,strong,no
overcast,normal,strong,yes
sunny,normal,strong,yes
rain,high,weak,no
overcast,high,weak,no
sunny,high,strong,no
overcast,high,strong,no
sunny,high,strong,yes
rain,high,strong,yes
overcast,high,strong,yes
rain,high,strong,no
rain,normal,weak,yes
overcast,normal,weak,no
rain,normal,weak,no
sunny,normal,strong,no
rain,high,weak,no
rain,normal,strong,yes
rain,high,strong,no
sunny,high,weak,yes
overcast,normal,strong,yes
sunny,normal,strong,no
rain,normal,strong,yes
rain,normal,weak,yes
sunny,normal,weak,no
sunny,normal,strong,no
rain,normal,weak,no
sunny,normal,weak,no
rain,normal,strong,no
sunny,normal,strong,yes
overcast,high,weak,no
sunny,high,strong,yes
overcast,normal,strong,no
overcast,normal,strong,yes
overcast,high,strong,yes
overcast,normal,weak,yes
overcast,normal,strong,no
overcast,high,strong,yes
overcast,normal,weak,yes
sunny,normal,weak,yes
rain,high,strong,no
rain,normal,weak,no
sunny,high,strong,yes
overcast,high,strong,no
sunny,normal,weak,no
overcast,normal,weak,no
overcast,high,strong,yes
sunny,normal,strong,no
sunny,high,strong,no
rain,normal,weak,yes
rain,high,weak,yes
overcast,normal,strong,yes
overcast,normal,strong,no
sunny,normal,weak,yes
rain,high,weak,yes
sunny,normal,strong,yes
rain,normal,strong,no
overcast,high,strong,yes
sunny,high,strong,yes
rain,normal,weak,yes
rain,high,strong,no
sunny,normal,weak,yes
overcast,normal,weak,no
rain,high,weak,yes
rain,high,strong,yes
overcast,high,strong,yes
rain,normal,weak,no
rain,normal,strong,yes
sunny,high,strong,no
overcast,normal,strong,no
sunny,normal,strong,yes
overcast,high,strong,no
rain,normal,weak,no
rain,high,strong,no
sunny,normal,weak,yes
overcast,high,strong,yes
sunny,high,weak,no
overcast,high,strong,yes
overcast,high,weak,no
rain,high,weak,yes
overcast,high,strong,no
rain,normal,strong,no
sunny,normal,strong,yes
rain,normal,weak,yes
rain,normal,strong,yes
sunny,normal,strong,no
sunny,high,weak,yes
sunny,normal,weak,no
overcast,high,strong,no
overcast,normal,strong,yes
sunny,high,weak,no
rain,high,strong,no
sunny,normal,strong,yes
overcast,high,weak,yes
rain,high,weak,no
sunny,high,strong,no
sunny,high,weak,yes
rain,high,weak,no
overcast,normal,weak,no
overcast,high,strong,no
sunny,high,weak,yes
sunny,high,strong,yes
rain,normal,strong,yes
sunny,high,weak,no
rain,normal,strong,no
rain,normal,strong,no
sunny,high,weak,no
rain,normal,weak,yes
rain,normal,strong,yes
sunny,normal,weak,yes
overcast,high,weak,yes
sunny,normal,strong,no
overcast,high,strong,no
rain,high,strong,yes
rain,normal,weak,yes
sunny,high,weak,yes
overcast,normal,weak,yes
rain,normal,strong,no
sunny,normal,strong,yes
sunny,high,weak,no
sunny,normal,strong,yes
rain,high,weak,yes
sunny,high,strong,no
overcast,high,strong,no
sunny,high,strong,yes
overcast,normal,weak,yes
overcast,normal,strong,yes
overcast,normal,weak,yes
sunny,normal,strong,yes
sunny,normal,weak,yes
overcast,high,strong,no
rain,normal,weak,no
rain,high,strong,yes
overcast,normal,strong,no
sunny,high,strong,no
sunny,high,strong,yes
sunny,high,weak,no
rain,high,weak,no
rain,high,strong,yes
overcast,high,strong,yes
rain,normal,weak,no
rain,high,weak,yes
rain,normal,weak,no
overcast,high,strong,no
rain,normal,weak,yes
overcast,high,strong,yes
sunny,normal,strong,no
sunny,high,weak,no
rain,normal,strong,no
sunny,normal,weak,yes
rain,normal,strong,yes
overcast,normal,weak,no
overcast,normal,strong,no
sunny,normal,weak,yes
overcast,normal,strong,no
overcast,normal,strong,no
overcast,normal,weak,yes
sunny,normal,weak,yes
rain,normal,strong,no
rain,high,strong,yes
overcast,high,strong,no
rain,high,weak,yes
overcast,normal,weak,no
sunny,normal,strong,yes
sunny,high,strong,yes
rain,high,strong,yes
overcast,high,weak,no
overcast,high,strong,yes
sunny,normal,weak,no
sunny,high,strong,no
sunny,high,weak,no
rain,high,strong,yes
rain,high,weak,no
overcast,high,weak,yes
rain,normal,strong,yes
overcast,high,weak,no
rain,normal,weak,no
sunny,high,strong,yes
rain,high,weak,no
rain,high,strong,no
sunny,normal,weak,no
rain,normal,weak,yes
sunny,normal,weak,yes
sunny,normal,weak,no
sunny,normal,weak,yes
rain,normal,weak,yes
sunny,normal,weak,no
rain,normal,strong,yes
sunny,normal,weak,no
overcast,normal,strong,yes
overcast,normal,strong,yes
sunny,high,weak,no
sunny,normal,strong,no
rain,normal,strong,yes
sunny,normal,weak,yes
overcast,normal,weak,no
sunny,normal,weak,no
overcast,normal,strong,no
sunny,high,strong,yes
overcast,high,strong,no
overcast,normal,strong,no
overcast,high,weak,no
overcast,normal,strong,no
overcast,high,weak,yes
rain,high,strong,yes
overcast,high,weak,yes
rain,high,weak,yes
overcast,normal,weak,no
overcast,normal,weak,no
overcast,high,strong,yes
rain,high,weak,no
overcast,normal,weak,no
rain,high,strong,yes
overcast,normal,strong,no
overcast,normal,strong,no
sunny,high,strong,yes
overcast,high,strong,no
sunny,normal,strong,yes
sunny,high,weak,yes
overcast,normal,weak,yes
overcast,high,weak,no
sunny,high,strong,no
overcast,high,strong,yes
sunny,normal,strong,yes
sunny,high,weak,yes
overcast,high,strong,no
sunny,normal,weak,yes
overcast,normal,weak,no
overcast,high,strong,no
sunny,normal,weak,yes
overcast,normal,weak,no
rain,normal,weak,no
rain,normal,strong,yes
overcast,normal,strong,no
rain,high,weak,no
sunny,high,strong,yes
overcast,normal,weak,no
overcast,high,weak,no
overcast,normal,weak,yes
sunny,high,weak,yes
sunny,normal,weak,no
sunny,high,weak,no
rain,high,weak,no
rain,normal,strong,yes
sunny,high,weak,no
rain,high,strong,yes
sunny,normal,weak,no
sunny,high,strong,yes
rain,normal,strong,no
overcast,normal,weak,yes
overcast,normal,weak,yes
sunny,high,weak,no
rain,normal,strong,yes
overcast,normal,weak,yes
rain,high,strong,yes
sunny,high,strong,no
rain,high,weak,no
rain,high,weak,no
overcast,normal,strong,yes
sunny,normal,weak,yes
sunny,high,strong,no
sunny,high,strong,yes
sunny,high,strong,no
overcast,normal,strong,no
rain,high,weak,no
sunny,normal,strong,yes
rain,high,weak,yes
rain,normal,strong,no
overcast,normal,strong,no
overcast,high,weak,no
overcast,normal,weak,yes
overcast,high,strong,yes
sunny,normal,weak,yes
rain,normal,strong,no
sunny,high,strong,no
rain,normal,weak,no
overcast,high,weak,no
rain,normal,strong,no
rain,normal,strong,no
sunny,high,strong,yes
overcast,high,weak,yes
sunny,normal,weak,no
overcast,normal,weak,no
rain,high,strong,yes
sunny,normal,strong,yes
sunny,high,strong,yes
rain,normal,weak,yes
overcast,normal,weak,no
rain,normal,weak,no
sunny,high,strong,yes
sunny,high,strong,no
overcast,normal,strong,yes
sunny,high,strong,no
overcast,high,strong,yes
rain,normal,strong,yes
sunny,high,weak,yes
rain,normal,weak,no
rain,high,weak,no
overcast,normal,weak,no
sunny,high,strong,no
overcast,normal,weak,yes
sunny,normal,strong,no
sunny,normal,weak,yes
rain,normal,weak,yes
rain,normal,strong,no
overcast,normal,weak,yes
rain,high,strong,yes
rain,high,weak,yes
sunny,normal,strong,yes
rain,high,strong,no
sunny,high,weak,yes
overcast,normal,strong,no
sunny,normal,weak,yes
sunny,high,weak,yes
overcast,normal,weak,no
overcast,high,strong,no
overcast,high,weak,yes
rain,high,weak,no
rain,high,strong,yes
rain,normal,strong,no
sunny,normal,weak,no
overcast,high,weak,yes
sunny,normal,strong,yes
sunny,high,weak,no
sunny,normal,weak,yes
overcast,high,strong,no
overcast,high,strong,no
sunny,normal,strong,yes
overcast,normal,strong,no
rain,normal,strong,no
rain,normal,weak,yes
rain,normal,strong,yes
sunny,high,weak,no
sunny,high,strong,yes
overcast,normal,strong,yes
rain,normal,strong,no
rain,normal,strong,no
sunny,high,strong,no
sunny,normal,weak,yes
rain,high,weak,yes
overcast,normal,strong,yes
sunny,high,strong,yes
overcast,high,weak,no
overcast,normal,weak,yes
sunny,normal,weak,no
sunny,high,weak,yes
sunny,normal,strong,yes
overcast,high,strong,no
sunny,high,weak,no
sunny,normal,strong,no
sunny,normal,weak,no
overcast,high,weak,no
sunny,normal,strong,no
overcast,normal,strong,no
overcast,normal,strong,yes
overcast,high,weak,no
overcast,normal,weak,no
sunny,high,strong,yes
rain,high,strong,no
overcast,normal,weak,yes
rain,normal,weak,yes
rain,normal,weak,yes
rain,normal,strong,no
overcast,high,weak,no
sunny,high,weak,yes
overcast,normal,weak,no
rain,normal,strong,yes
overcast,normal,weak,yes
overcast,normal,strong,yes
overcast,high,weak,yes
sunny,normal,strong,yes
sunny,high,strong,yes
overcast,high,weak,no
overcast,high,weak,yes
overcast,high,strong,no
sunny,normal,weak,no
rain,high,weak,no
overcast,high,strong,no
overcast,normal,weak,no
rain,normal,strong,no
overcast,high,strong,yes
rain,normal,strong,no
rain,normal,weak,no
overcast,normal,weak,yes
overcast,high,strong,no
sunny,normal,strong,no
sunny,normal,weak,no
overcast,high,weak,yes
rain,high,weak,yes
sunny,high,weak,no
sunny,normal,weak,yes
rain,normal,strong,no
sunny,high,weak,no
overcast,high,weak,yes
overcast,normal,strong,yes
overcast,normal,weak,yes
rain,high,strong,yes
rain,normal,weak,yes
overcast,normal,strong,no
sunny,high,weak,yes
sunny,high,strong,yes
rain,high,strong,no
overcast,normal,strong,yes
sunny,normal,weak,yes
sunny,high,strong,no
sunny,normal,weak,no
overcast,high,weak,yes
sunny,normal,strong,no
sunny,high,strong,yes
overcast,normal,strong,yes
sunny,normal,strong,no
rain,normal,weak,yes
sunny,normal,weak,yes
sunny,normal,strong,no
rain,high,strong,yes
sunny,normal,weak,yes
sunny,high,weak,yes
sunny,normal,weak,yes
rain,high,weak,yes
rain,high,weak,no
rain,high,weak,no
overcast,normal,weak,no
overcast,normal,strong,yes
sunny,normal,strong,no
overcast,high,weak,yes
sunny,high,weak,yes
sunny,high,strong,no
sunny,high,weak,no
overcast,normal,weak,no
sunny,normal,strong,yes
overcast,normal,strong,no
sunny,high,strong,no
rain,normal,strong,yes
sunny,normal,weak,yes
rain,high,weak,yes
sunny,high,strong,yes
sunny,high,weak,yes
sunny,high,weak,yes
overcast,high,weak,no
rain,normal,strong,yes
rain,high,weak,yes
rain,normal,strong,yes
overcast,normal,weak,no
overcast,normal,strong,no
sunny,high,weak,no
sunny,high,weak,yes
overcast,high,strong,no
overcast,normal,weak,yes
sunny,high,weak,yes
overcast,high,weak,no
sunny,normal,weak,yes
overcast,normal,strong,yes
rain,normal,weak,no
overcast,high,weak,yes
sunny,normal,weak,yes
sunny,high,weak,yes
overcast,normal,weak,yes
overcast,normal,weak,no
sunny,normal,weak,yes
overcast,high,weak,yes
rain,normal,weak,no
rain,high,strong,no
sunny,high,weak,yes
sunny,normal,strong,no
overcast,normal,weak,yes
rain,normal,weak,yes
overcast,normal,strong,yes
overcast,normal,strong,yes
overcast,normal,strong,yes
rain,normal,strong,no
rain,high,strong,yes
sunny,normal,strong,yes
sunny,high,weak,yes
rain,normal,strong,yes
sunny,normal,strong,no
rain,high,weak,yes
rain,normal,weak,no
sunny,normal,strong,yes
sunny,normal,weak,yes
overcast,normal,strong,yes
overcast,high,weak,no
rain,high,strong,no
sunny,normal,strong,yes
overcast,normal,weak,no
overcast,normal,strong,no
overcast,high,weak,yes
sunny,normal,strong,no
rain,high,strong,no
rain,high,weak,no
rain,high,weak,no
overcast,normal,weak,yes
overcast,high,weak,yes
overcast,normal,strong,yes
overcast,normal,weak,no
sunny,high,weak,yes
rain,high,weak,yes
overcast,high,weak,yes
overcast,high,weak,no
overcast,normal,weak,no
overcast,high,strong,no
rain,high,strong,no
rain,normal,weak,yes
overcast,normal,weak,yes
rain,normal,weak,yes
sunny,normal,weak,yes
sunny,high,strong,no
rain,normal,strong,yes
rain,high,strong,yes
overcast,high,strong,yes
overcast,normal,weak,no
rain,high,strong,no
rain,normal,weak,yes
rain,high,weak,no
sunny,high,weak,yes
overcast,normal,strong,yes
rain,high,weak,no
overcast,high,weak,yes
rain,high,strong,yes
rain,normal,strong,no
overcast,high,strong,yes
sunny,normal,strong,yes
overcast,normal,strong,no
overcast,normal,weak,no
rain,high,weak,yes
sunny,normal,strong,no
overcast,high,weak,no
sunny,high,weak,no
sunny,normal,strong,no
overcast,normal,weak,no
rain,high,strong,no
overcast,normal,weak,no
overcast,high,weak,yes
sunny,normal,weak,yes
sunny,normal,weak,yes
overcast,normal,strong,yes
sunny,normal,weak,yes
rain,high,weak,yes
rain,normal,weak,no
rain,normal,weak,yes
rain,high,weak,no
overcast,high,strong,no
sunny,normal,strong,yes
rain,normal,strong,no
sunny,high,strong,yes
sunny,normal,weak,yes
sunny,high,strong,no
sunny,normal,strong,no
sunny,high,weak,yes
sunny,high,weak,yes
sunny,normal,weak,no
rain,high,strong,no
sunny,high,weak,no
overcast,normal,weak,yes
overcast,high,strong,no
overcast,normal,strong,no
overcast,normal,weak,no
rain,high,strong,no
rain,normal,weak,no
rain,normal,strong,no
rain,high,strong,no
rain,high,weak,no
rain,normal,weak,no
overcast,high,weak,no
sunny,high,weak,no
overcast,high,strong,yes
overcast,normal,weak,yes
rain,normal,strong,no
overcast,high,weak,no
sunny,normal,weak,yes
overcast,high,weak,yes
sunny,high,weak,yes
rain,high,strong,yes
overcast,normal,weak,no
sunny,normal,strong,yes
rain,high,strong,yes
overcast,normal,weak,no
overcast,normal,weak,yes
rain,high,strong,yes
overcast,high,weak,no
sunny,normal,strong,yes
sunny,normal,weak,no
rain,high,weak,no
overcast,normal,weak,yes
sunny,normal,strong,no
rain,normal,strong,yes
sunny,high,strong,yes
overcast,high,weak,no
overcast,normal,strong,yes
rain,normal,strong,yes
sunny,high,strong,no
sunny,normal,weak,no
overcast,normal,strong,yes
sunny,normal,strong,yes
overcast,normal,weak,yes
sunny,high,weak,yes
sunny,high,weak,no
overcast,high,weak,no
overcast,normal,weak,yes
overcast,normal,strong,yes
rain,normal,weak,yes
rain,high,weak,no
rain,high,strong,no
overcast,high,strong,no
rain,normal,strong,yes
